element	sp_num	obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
Tm	1	"522.6304"	"0.0005"	"522.6301+"	"53"	"5.6e+05"	C+	"2.4485073"	"4.8201598"	"4f13.(2F*<7/2>).6s.6p.(3P*<2>)"	"(7/2,2)"	"9/2"	"4f12.5d.6s.6p"	"*"	"11/2"	10	12		"T6708"	"L2006"	
Tm	1	"522.823"	"0.003"	"522.818+"	"220bl(Tm II)"	"6.0e+05"	B	"2.4135586"	"4.784359"	"4f12.(3H<6>).5d<5/2>.6s2"	"(6,5/2)"	"13/2"	"4f12.5d.6s.6p"	"*"	"13/2"	14	14		"T6708"	"L3475"	
Tm	1	"525.5503"	"0.0005"	"525.5500+"	"52"	"4.6e+05"	B	"2.3545103"	"4.7129859"	"4f13.(2F*<7/2>).6s.6p.(3P*<2>)"	"(7/2,2)"	"11/2"	"4f12.5d.6s.6p"	"*"	"13/2"	12	14		"T6708"	"L2006"	
Tm	1	"527.4714"	"0.0005"	"527.4710+"	"130"	"1.16e+06"	B+	"2.3176458"	"4.6675322"	"4f12.(3H<6>).5d<5/2>.6s2"	"(6,5/2)"	"15/2"	"4f12.5d.6s.6p"	"*"	"13/2"	16	14		"T6708"	"L2006"	
Tm	1	"528.5386"	"0.0005"	"528.5384+"	"8"	"1.4e+05"	C	"2.3375761"	"4.6827173"	"4f12.(3H<6>).5d<5/2>.6s2"	"(6,5/2)"	"11/2"	"4f12.5d.6s.6p"	"*"	"9/2"	12	10		"T6708"	"L2006"	
Tm	1	"529.7934"	"0.0005"	"529.7931+"	"12"	"1.09e+05"	B	"1.9326423"	"4.2722293"	"4f12.(3H<6>).5d<3/2>.6s2"	"(6,3/2)"	"11/2"	"4f12.5d.6s.6p"	"*"	"9/2"	12	10		"T6708"	"L2006"	
Tm	1	"530.0205"	"0.0005"	"530.0200+"	"350"	"1.98e+06"	B+	"1.9326423"	"4.2712276"	"4f12.(3H<6>).5d<3/2>.6s2"	"(6,3/2)"	"11/2"	"4f12.(3H<6>).5d.6s.6p.(4F*<5/2>)"	"(6,5/2)*"	"13/2"	12	14		"T6708"	"L2006,L3475"	
Tm	1	"530.7116"	"0.0005"	"530.7116+"	"6500"	"2.17e+06"	B+	"0.0000000"	"2.3355381"	"4f13.(2F*).6s2"	"2F*"	"7/2"	"4f12.(3H<6>).5d<5/2>.6s2"	"(6,5/2)"	"9/2"	8	10		"T6708"	"L2006,L3475"	
Tm	1	"531.1864"	"0.0005"	"531.1865+"	"10"	"3.5e+05"	B	"2.3355381"	"4.6689880"	"4f12.(3H<6>).5d<5/2>.6s2"	"(6,5/2)"	"9/2"	"4f12.5d.6s.6p"	"*"	"11/2"	10	12		"T6708"	"L2006"	
Tm	1	"531.2267"	"0.0005"	"531.227+"	"250"	"1.33e+06"	B+	"2.1641216"	"4.497395"	"4f12.(3H<6>).5d<3/2>.6s2"	"(6,3/2)"	"13/2"	"4f12.(3H<6>).5d.6s.6p.(4F*<7/2>)"	"*"	"15/2"	14	16		"T6708"	"L2006"	
